french,nature,eton
apaiser (s’_ ),v.,sùz
apathique,adv.,kólwónó
aplomb,n.,ɛ̀-lágbâ
apocynacée (sp),n.,à-kùg
apôtres,n.,àpóstɛ̀l
appareil (sp),n.,jə́g
apparent (être_),v.,yɛ́nî
appel,n.,ǹ-lɔ́ɔ́ní
appel (sp),n.,ù-kábí
appeler,v.,kpàd
appeler,v.,lɔ́
appeler,v.,yòlò
appeler (sp),v.,lɔ́ŋ
appellation,n.,ǹ-lɔ́ɔ́ní
appliqué,n adj.,bə̀mə̀
appliquer,v.,kwág
apporter,q aux.,kə̀
apporter,v.,jə́ŋ
apporter,v.,sɔ́ èè
apposer,v.,bàgì
apprendre,v.,yə́gî
apprendre,v.,yə́glə̂
approuver,v.,jə́blə̂
approuver,v.,kàmzànà
appât,n.,ɛ̀-dí
appât,n.,ŋgòm
appâter,v.,sɛ̀l
appétit,n.,zám
appétit (sp),n.,ɛ̀-záŋ
appui,n.,ɛ̀-yə́gbə́
appui,n.,ì-súùgà
appuyer,v.,bán
appuyer,v.,yə́g
appuyer (s’_ ),v.,yə́gbə́
après-demain,adv.,úꜜján
arachide,n.,òwònò
arachide (sp),n.,ŋgə̀ŋ mɔ́gɔ̂
araignée,n.,ɛ̀-bòb
araignée,n.,ndɛ̀n bòbò
arbre,n.,ì-lə́
arbre,n.,ì-tə̀ŋ
arbre,n.,ŋgòŋò
arbre,n.,ù-zwál
arbre (sp),n.,à-bàŋ
arbre (sp),n.,à-bàŋ ńtáŋní
arbre (sp),n.,à-bɛ́l
arbre (sp),n.,à-dǔm
arbre (sp),n.,à-jàb
arbre (sp),n.,à-jàb zɔ̂g
arbre (sp),n.,à-jòz
arbre (sp),n.,à-kə́ŋ
arbre (sp),n.,à-kòngò
arbre (sp),n.,à-kɔ̀m
arbre (sp),n.,à-kùg
arbre (sp),n.,áꜜlɔ́gɔ́
arbre (sp),n.,à-lɔ̌m
arbre (sp),n.,à-mbǔd
arbre (sp),n.,à-ndòm
arbre (sp),n.,à-ndɔ́gɔ̂
arbre (sp),n.,à-ndɔ́gɔ̂ bə́tí
arbre (sp),n.,à-ŋgə̀g
arbre (sp),n.,à-ŋgɔ̀ŋ
arbre (sp),n.,à-sá
arbre (sp),n.,à-sám
arbre (sp),n.,à-sə̀
arbre (sp),n.,à-sə́ŋ
arbre (sp),n.,à-tú
arbre (sp),n.,à-vó
arbre (sp),n.,àzàŋà
arbre (sp),n.,bázâ
arbre (sp),n.,bòŋó
arbre (sp),n.,d-úmá
arbre (sp),n.,ɛ̀-bɛ̌l
arbre (sp),n.,ɛ̀-sə́ŋ
arbre (sp),n.,ɛ̀-tâg
arbre (sp),n.,ɛ̀-vɔ̌m
arbre (sp),n.,ɛ̀-wóngí
arbre (sp),n.,ì-bày
arbre (sp),n.,ì-bə́ꜜbə́ŋ
arbre (sp),n.,ì-dú ásə̂
arbre (sp),n.,ì-jɛ̀n
arbre (sp),n.,ì-jɔ̌ŋ
arbre (sp),n.,ì-kǎŋ
arbre (sp),n.,ì-kə́kɔ́m
arbre (sp),n.,ì-kógó
arbre (sp),n.,ì-kùdí
arbre (sp),n.,ì-kùg
arbre (sp),n.,ì-kwǐ
arbre (sp),n.,ì-lə̀lɔ̀m
arbre (sp),n.,ì-lón
arbre (sp),n.,ì-ndə̀ndìŋ
arbre (sp),n.,ì-pòg
arbre (sp.),n.,ì-sánî
arbre (sp),n.,ì-siŋgàn
arbre (sp),n.,ì-sɔ̀ŋ dúmá
arbre (sp),n.,ì-tə́tób
arbre (sp),n.,ì-tɔ́
arbre (sp),n.,ì-tùb
arbre (sp),n.,ì-vúl
arbre (sp),n.,ì-wómî
arbre (sp),n.,ì-wóódè
arbre (sp),n.,ì-yə́m
arbre (sp),n.,ì-zə́záŋ
arbre (sp),n.,kòkómô
arbre (sp),n.,kɔ̀mɔ̀
arbre (sp),n.,lànà
arbre (sp),n.,mǎŋ zɔ́gɔ̀
arbre (sp),n.,mbòŋglí
arbre (sp),n.,mə̀vínâ
arbre (sp),n.,m̀-mɛ̀l
arbre (sp),n.,m̀-pǒl
arbre (sp),n.,ndíŋ
arbre (sp),n.,ǹ-tɔ́
arbre (sp),n.,ǹ-túŋâ
arbre (sp),n.,ŋgòn
arbre (sp),n.,ŋ̀-kànə̀ŋ
arbre (sp),n.,ŋ̀-káŋlá
arbre (sp),n.,ɲ̀ɲóm íyə́m
arbre (sp),n.,pòglò
arbre (sp),n.,pǒn
arbre (sp),n.,tɔ̌l
arbre (sp),n.,tɔ̌m
arbre (sp),n.,ù-kɛ́nə̂
arbre (sp),n.,ù-kód
arbre (sp),n.,ù-ŋgɛ́lî
arbre (sp),n.,ù-pɛ́z
arbre (sp),n.,ù-sə́ ábâŋ
arbre (sp),n.,ù-tìlgà
arbre (sp),n.,ù-və̀ŋ
arbre (sp); Anonidium mannii,n.,ì-bwàm
arbre touffu,n.,ì-zàmzà
arbuste (sp),n.,à-tù tɔ́mɔ̂
arbuste (sp),n.,bə́gə̂
arbuste (sp),n.,ɛ̀-bò
arbuste (sp),n.,óꜜjól íkôdgò
arbuste (sp),n.,pàŋnâ
arbuste (sp),n.,ù-bàz
arbuste (sp),n.,ù-kǒŋ
arc,n.,ì-ŋgàŋlâ
arc,n.,ŋgàáŋâ
arc-en-ciel,n.,ǹ-núꜜnúm
arche,n.,árkâ
argent,n.,d-ɔ́lɔ̂
argent,n.,mɔ̀ní
argent,n.,sípɛ̂n
argent,n.,tɔ̀lápɛ̂n
argent (sp),n.,síngì
argile,n.,ì-kwán
argile,n.,mə̀-lǐb
argile (sp),n.,vyǒg
armature,n.,ì-kpà
armature (sp),n.,pàlì
armoire,n.,kwábdɔ̂
aérophone,n.,tɔ́ŋ
aérophone (sp),n.,ì-làn
arrachement,n.,ì-làlì
arracher,v.,làlì
arracher,v.,pàdì
arracher,v.,tə́
arracher (sp),v.,bàl
arracher (sp),v.,kɔ́
arracher (sp),v.,sóg
arranger,v.,kòm
arranger,v.,tág
arrière (maison),n.,páglá
arrivant,n.,ǹ-sɔ̂
arriver,v.,lòd
arriver,v.,pám
arriver,v.,zù
arriver à quelqu’un,v.,èè
arriver (sp),v.,vám
arrêter,v.,g͡bè
arrêter,v.,jə̀g
arrêter,v.,tɛ́lî
articulation,n.,d-òòŋò
articulation,n.,ì-bwágzí
artisan,n adj.,à-kə́ŋ
Arvicanthis rufinus,n.,ì-kwě
assécher (sp),v.,síŋlâ
asseoir (s’_ ),v.,bógbô
assez,adv.,ndúŋ
assiette,n.,ì-só
assiette en bois,n.,sóló
assis confortablement (être_),v.,mɛ̀zbə̀
assis (être_),v rés.,bógô
associé,n.,àsò
assongho,n.,ì-sánî
assortir (s’_ ),v.,tóbnì èè
assumer,v.,mə̀m
asthme,n.,ì-bǎb
asthme,n.,ìbə̀m kɔ̂
asticot,n.,ì-túm
Atherurus africanus,n.,ŋgǒm
athérure,n.,ŋgǒm
Atilax paludinosus,n.,ù-bǔd
atom,n.,tɔ̌m
attaché (être_),v.,tììbà
attaché (être_),v res.,tyǎ
attache,n.,ŋgàdgì
attacher,v.,kàŋ
attacher,v.,tìŋdà
attacher (s’_ à),v.,lád
attarder (s’_ ),v.,ndə̀ŋ
attendre,v.,mwánî
attendre,v.,yàŋà
attention,n.,ù-kálá
attention (attirer ),v.,sə̀blə̀
attention (faire),v.,kálâ
attention (faire sans ),q aux.,púzlânà
attirer,v.,dùd
attirer,v.,sɛ̀l
attiser,v.,sɛ̀l
attraper,v.,g͡bè
attraper,v.,káb
attraper,v.,kàm
attraper (se faire ),v.,g͡bɛ̀lì
aube,n.,cə́
aube,n.,ɛ̀-lɛ́n
aubergine,n.,zɔ́ŋ
audace,n.,ɛ̀-lágbâ
audace,n.,ù-bàznà
audacieux,n adj.,bì-lə́lág
audacieux,n adj.,ù-làŋnà
au-delà,n.,kón
audience,n.,ɲ̀-cə̀ŋ
augmentatif,n adj.,m̀-mə̂
augure (mauvaise),n.,ɛ̀-bə̂
aujourd’hui,n.,à-lú
aujourd’hui,n.,à-ná
aulacode,n.,mbə́b
aumône,n.,sádkâ
auriculaire,n.,zə́zɛ́lâ
aurore,n.,cə́
aussi,adv.,pə̂
autant que,prép.,átá
autel,n.,àlàtàr
autorisation,n.,ŋgùl
Autranella congolensis,n.,à-jàb zɔ̂g
autre,adj.,-pə́bə̂
autrui (d’ ),adj.,íꜜzá
auvent,n.,ɛ̀-ŋgàg
avaler,v.,mìn
avaler (sp),q aux.,sógdô
avantage,n.,m̀-pí
avant-hier,adv.,úꜜján
avare,n.,àkàb èè kón
avare,n.,m̀-pə́ꜜmpɔ́m
avare,n adj.,bì-jə́m
avare,n adj.,ù-kág
avare (être_),v.,pɔ̀mnì
avarice,n.,à-pɔ̀m
avec,prép.,èè
avec hâte,n adj.,mbògmbòg
avertir,v.,bə́mî
avertissement,n.,mbə́mí
aveugle,n.,ǹ-díndím
avide (être de),v.,èè
avidité,n.,ndɔ̀g
avocat,n.,lɔ́yâ
avocat,n.,pyâ
avocatier,n.,pyâ
avoir,v res.,g͡bɛ́lə̂
avouer,v.,mə̀m
ayous,n.,à-jòz
azobe,n.,ì-kógó
babouté,n.,bə̀-búdî
badiner avec,v.,bùb èè
bafia,n.,bə̀pyà
bagage,n.,mbə̀glə̀
bagage,n.,m̀-mə̀glə̀
bagarre,n.,ì-tɔ̀m
baguette,n.,ì-bà
ébahi (rester ),v.,pòdbò
ébahi (rester ),v.,zə̀mbə̀
Baillonella toxisperma,n.,à-jàb
bain,n.,d-ɔ́gbɔ̂
baiser,v.,kúngâ
baiser,v.,pwàd
balafon,n.,ɛ̀-njáŋ
balafon,n.,mə̀-njáŋ
balafon (sp),n.,kwàwɔ́dɔ̂
balai,n.,ì-vyɔ̂g
balancer,v.,ndə́ŋ
balancer,v.,pə̀ŋ
balayer,v.,vyé
baliverne,n.,pídí pɔ̂
balle,n.,ndàmà
ballon,n.,ndàmà
ballon,n.,ǹ-tə́g
bambin,n.,ì-sòm
bambou (lame de ),n.,ì-bà
bambou (sp),n.,ì-kpáz
Bamiléké,n.,ŋgɛ́làpíz
banane douce,n.,újô
banane plantain (sp),n.,vínâ
banane plantain (sp),n.,àvwàd mbə̀glə̀
banane plantain (sp),n.,ɛ̀sàŋ m̀mwágɔ̂
banane plantain (sp),n.,ì-sɔ́ŋ
banane plantain (sp),n.,zwàgbɔ̀
banane (sp),n.,àtɔ̀dnɔ̀
banane (sp),n.,bə́lɔ́ŋꜜmɔ́dɔ́
banane (sp),n.,mə́ndánâ
banane (sp),n.,mpídámpím
banane (sp),n.,nɔ̀màwán
banane (sp),n.,újô bə̀tí
banc,n.,báŋ
bande,n.,bándád
bander,v.,vàŋ
banquet,n.,dínâ
baobab,n.,d-úmá
baptiser,v.,dù
baptême,n.,ǹ-nùùní
bar,n.,ì-pàtìlá
baragouiner,v.,lɔ́b
baratin,n.,dɔ́ktɛ̂n
barbe,n.,zɛ̀l
barbe (maïs),n.,zə̀ŋgà
barrage,n.,ŋm̀-ŋmə̌g
barrer,v.,yə́g
barrière,n.,ŋgólô
barrière,n.,ù-ŋgólô
barrière de chasse garnie de pièges,n.,ù-sàb
barrière (sp),n.,sàzà
barrière (sp),n.,ù-pɛ̀d
bas du dos,n.,ɛ̀-tám
bas (en ),adv.,á sí
bas (mettre ),v.,wɔ́
base,n.,tín
base,n.,mə̀-sə̀b
basilic,n.,ù-sím ńtáŋə́n
bassin,n.,bísîn
bassin,n.,ɛ̀-tám
bassin,n.,ì-tɔ̌g
bassin,n.,ù-dúg
bastonnade,n.,ì-bɔ̀b
bastonnade,n.,ì-kùm
bas-ventre,n.,ŋgùd
bateau,n.,tìtímâ
battement,n.,m̀-pùbnì
battement des mains,n.,kób
battre,v.,bímî
battre,v.,bɔ̀b
battre,v.,kùd
battre (se ),v.,bímnì
battre (se ),v.,dùbnì
battre (se ),v.,lúmnì
battre (se ),v.,sìŋ
bavard,n.,ù-láŋdânà
bavardage,n.,ì-kókómnó
bavardage,n.,ù-dwád
bavardage,n.,ù-jə́m
bavardage,n.,ù-láŋdânà
bavarder,v.,kómnó
bavarder,v.,láànì
bavarder,v.,pɔ́b
bavarder sans cesse,v.,dɔ́dbɔ̂
bavarder (sp),v.,pɔ́blân
bave,n.,ɛ̀-kə̀ŋ
bébé,n.,ì-bə̀bwàg
bûche,n.,mìŋ-kùg
bêcher,v.,sə̀ŋ
Bdeogale Nigripes,n.,ù-bǔd
beau,n adj.,ɛ̀-bə̀ŋ
beaucoup,adv.,lógó
beaucoup,n adj.,à-bwǐ
beaucoup,n adj.,àŋgàdà
beaucoup,n adj.,ɲ̀-cùmá
beaucoup (faire ),q aux.,bùlà
beaucoup (faire ),q aux.,dàŋ
beaucoup (être ),v.,pò
"beaucoup, très",adv.,cə̀ə̀
beau-frère,n.,ɲàlà
beau-parent,n.,ɲ̀-cǐ
beau-père,n.,ɲ̀-cǐ à pâm
bec,n.,ɲ̀-cɔ̀ŋ
becqueter,v.,sɔ́g
beignet,n.,ɛ̀-kàlà
belle-famille,n.,bə̀-cǐ
belle-fille,n.,m̀-mɔ́m
belle-mère,n.,ɲ̀-cǐ à mìnŋgá
belle-sœur,n.,mbómó
belle-sœur,n.,ɲàlà
benjamin,n.,mə̀líg mbúzâ
bercer,v.,póblô
bercer,v.,sə̀blə̀
berge,n.,cíngí
besoin (avoir ),v.,yáŋnì
besoin (avoir de),v.,yág èè
beti,n.,bə̀-tí
bible,n.,bíbɛ̂l
biche (sp),n.,ù-bál
Bidens pilosa,n.,və̀vàzá
bident poilu,n.,və̀vàzá
bien,n adj.,mbwàgí
bien,n adj.,m̀-pàŋ
bien,n adj.,ŋ̀-ŋə́mdə́
bien,n adj.,páŋ
bien (aller ),v.,tə́bə̂
bien (faire ),q aux.,kwàgdɔ̀
bien (être_),v.,ɲə̀b
bien-être,n.,mbá
bien-être,n adj.,mbwàgí
bientôt,n.,à-lú
bienveillance,n.,mbàm
bifurquer,v.,bágî
bikutsi,n.,bì-kùd sí
bâiller,v.,yáànì
billet,n.,tíkɛ̂d
billon,n.,ɛ̀-ndògò
billon,n.,ù-ndògò
bière,n.,byâ
bière de maïs,n.,kpàdà
bière (sp),n.,bílíbìlì
bistourner,n adj.,ŋm̀-ŋmǎg
Bixa orellana,n.,lélê ǹtáŋní
blé,n.,ù-və́gə̂
blague,n.,ì-làŋ
blague,n.,ǹ-tómdân
blague,n.,ɲ̀-ɲɔ́ŋ
blague,n.,pyàŋà
blague,n adj.,ì-lɔ̀bí
blanc,n.,ǹ-táŋní
blanc,n adj.,m̀-púm
blanc (homme ),n.,íkòbò
blanc (être_),v.,pùm
blancheur,n.,à-pǔm
bêler,v.,tàd
blessé,n adj.,ì-kpə́kpɛ̂lì
blesser,v.,kpɛ̀lì
blesser (se ),v.,kpɛ̀lì
blesser (se  réciproquement),v.,sàŋnì
blessure,n.,ɛ̀-və́ŋ
blessure (sp),n.,ɛ̀-kɛ̀ɛ́
bleu,n.,ɲól
Blighia welwitschii,n.,ɛ̀-wóngí
blindage,n.,ɲjàmà
blindage (sp),n.,ì-jómí
blinder,v.,kòm
blinder (sp),v.,jómlô
bloquer,v.,yə́m
bloquer (sp),v.,bán
blottir (se ),v.,ládbâ
éblouissement,n.,ì-búꜜbúlgí
bluffard,n adj.,bì-jàŋ
bénédiction,n.,ǹ-sàlní
ébène,n.,mə̀vínâ
bénéfice,n.,m̀-pí
bénir,v.,bàbì
bénir,v.,púbâ
bénir (mariage),v.,kàb
bénir (se faire ),v.,púúbân
boa,n.,mbɔ̀m
boire,v.,ɲúŋ
boire (faire ),v.,ɲúŋâ
bois,n.,ŋgàlà
bois (sp),n.,kóŋô
boisson,n.,mə̀-ɲúŋ
boisson (sp),n.,bì-lám
boiter,v.,cə́mgə̂
boiter,v.,jə́m
boiter,v.,pɛ́ngə̂
boiteux,n.,ɲ̀-ɲə́ɲə́m
Bombax buonopozense,n.,ì-sɔ̀ŋ dúmá
bon,n adj.,ɛ̀-bə̀ŋ
bon,n adj.,ŋ̀-ŋə́mdə́
bon à rien,n adj.,zə̀zè
bon (être_),v.,ɲə̀b
bonbonne,n.,ɛ̀-ŋgámá
bondir,v.,józ
bonheur,int.,bə̀sɔ́
bonheur,n.,mbɔ̌m
bonsoir,n.,ŋgògí
bord,n.,ɛ̀-vɛ̀l
bord,n.,ì-ɲə́g
bord,n.,kòn
bord,n.,ŋ̀-kòm
bord,n.,ŋ̀-kɔ̀ŋ
bord,n.,ŋ̀-ŋóm
bordure,n.,ŋmg͡bág
bosquet (sp),n.,ù-kǎŋ
bosse,n.,ì-kə́kóngí
bosse,n.,ì-ŋgúl
bosse,n.,ì-túd
bosselé,n adj.,bì-tútúg
boîte,n.,ndə́g
boîte (conserves),n.,ɛ̀-ŋgóŋô
bouche,n.,à-nùŋ
bouche béé (rester ),v.,pòdbò
boucher,n.,ɲ̀-cîg ɲàg
boucher,v.,bóg
boucher,v.,dìb
boucher (sp),v.,lɔ́
bouchon,n.,ì-dìbgâ
bouder,n.,mə̀-bún
bouderie,n.,bì-jám
bouderie,n.,ì-ŋgə̀lzə́g
bouderie,n.,mə̀-bún
bouderie,n adj.,ì-ŋmg͡bə̀ŋmg͡bə̀g
bouderies (sp),n.,bì-zə̀gdí
boudeur (être_),v.,búnbâ
boue,n.,mbàdgì
boue,n.,mə̀-lǐb
boue,n.,pɔ̀dɔ̀ pɔ́dɔ́
bouger,v.,ndə́ŋ
bouger,v.,pógó
bouger,v.,pógzân
bouger les fesses,v.,mɛ̀z
bouger (sp),v.,sílâ
bougonner,n.,mə̀-bún
bouilie (sp),n.,ɲ̀-còg mbâz
bouillie de maïs,n.,ì-kùdà
bouillir,v.,twàg
bouillonner,v.,lɔ́b
bouillonner,v.,tɔ̀g
boulou,n.,búlî
bourgeon,n.,ǹ-tɔ̌m
bourgeon,n.,sǎm
bourgeon (sp),n.,ɛ̀-bìn újô
bourgeon (sp),n.,lɔ̀mɔ̀
bourgeons de sissongo,n.,mì-sɔ̀ŋ
bourrer,v.,bóg
bourrer,v.,jɔ̀
boursoufflé,n adj.,bì-tútúg
boursoufflure (sp),n.,ɛ̀-bǐb
boursoufflure (sp),n.,ù-bǐb
bout,n.,ɲ̀-cɔ̀ŋ
bout du sein,n.,ɲ̀-cɔ̀ŋ ɛ́bé
bouteille,n.,ǹ-nɔ̀mɔ̀
